PLAYER,WINDOW,POSITION,COUNTRY,TO,FROM,PRICE DESCRIPTION,PRICE,LEAGUE ,SEASON
Ryder Matos,Mid-Season,Attacker,BRA,Udinese,Fiorentina,Sold,3000000,Serie A,15/16
Mariano Ferreira,Pre-Season,Defender,BRA,Sevilla,Bordeaux,Sold,3000000,La Liga,15/16
Alexandre Pato,Pre-Season,Attacker,BRA,Villarreal,Corinthians,Sold,3000000,La Liga,16/17
Bruno Henrique,Pre-Season,Midfielder,BRA,Palermo,Corinthians,Sold,3300000,Serie A,16/17
Felipe Melo,Pre-Season,Midfielder,BRA,Inter Milan,Galatasaray,Sold,3500000,Serie A,15/16
Douglas Maicon,Pre-Season,Defender,BRA,Roma,Manchester City,Sold,3500000,Serie A,13/14
Marquinho,Pre-Season,Midfielder,BRA,Roma,Fluminense,Sold,3500000,Serie A,Dec-13
Vinicius Araujo,Mid-Season,Attacker,BRA,Valencia,Cruzeiro,Sold,3500000,La Liga,13/14
Felipe Melo,Pre-Season,Midfielder,BRA,Galatasaray,Juventus,Sold,3750000,ROE,13/14
Douglas Maicon,Pre-Season,Defender,BRA,Manchester City,Inter Milan,Sold,3800000,EPL,Dec-13
Talisca,Pre-Season,Midfielder,BRA,Benfica,Bahia,Sold,4000000,ROE,14/15
Roberto Firmino,Mid-Season,Midfielder,BRA,Hoffenheim,Figueirense,Sold,4000000,ROE,10-Nov
Dante,Pre-Season,Defender,BRA,Wolfsburg,Bayern,Sold,4000000,Bundesliga,15/16
Bruno Henrique,Mid-Season,Attacker,BRA,Wolfsburg,Goias EC,Sold,4000000,Bundesliga,15/16
Bernardo,Pre-Season,Midfielder,BRA,Leipzig,Salzburg,Sold,4000000,Bundesliga,16/17
Fagner,Pre-Season,Defender,BRA,Wolfsburg,Vasco da Gama,Sold,4000000,Bundesliga,Dec-13
Lucas Evangelista,Pre-Season,Midfielder,BRA,Udinese,Sao Paulo,Sold,4000000,Serie A,14/15
Henrique,Mid-Season,Defender,BRA,Napoli,Palmeiras,Sold,4000000,Serie A,13/14
Juan Jesus,Mid-Season,Defender,BRA,Inter Milan,Internacional,Sold,4000000,Serie A,11-Dec
Junior Caicara,Pre-Season,Defender,BRA,Schalke,Ludogorets,Sold,4500000,Bundesliga,15/16
Jorginho,Pre-Season,Midfielder,BRA,Napoli,Verona,Sold,4500000,Serie A,15/16
Guilherme,Pre-Season,Midfielder,BRA,Udinese,Corinthians,Sold,4500000,Serie A,14/15
Dante,Pre-Season,Defender,BRA,Bayern Munich,Bor. Mgladbach,Sold,4700000,Bundesliga,Dec-13
Malcom,Mid-Season,Attacker,BRA,Bordeaux,Corinthians,Sold,5000000,ROE,15/16
Alex,Mid-Season,Defender,BRA,PSG,Chelsea,Sold,5000000,ROE,11-Dec
Raffael,Pre-Season,Attacker,BRA,Bor. Mgladbach,Dynamo Kiev,Sold,5000000,Bundesliga,13/14
Rafael,Pre-Season,Goalkeeper,BRA,Napoli,Santos,Sold,5000000,Serie A,13/14
Leandro Castan,Pre-Season,Defender,BRA,Roma,Corinthians,Sold,5000000,Serie A,Dec-13
Douglas Pereira,Pre-Season,Defender,BRA,Barcelona,Santos,Sold,5500000,La Liga,14/15
Joao Pedro,Pre-Season,Midfielder,BRA,Palermo,Atletico Mineiro,Sold,6000000,Serie A,10-Nov
Leo Baptistao,Pre-Season,Attacker,BRA,Espanyol,Atletico Madrid,Sold,6000000,La Liga,16/17
Casemiro,Pre-Season,Midfielder,BRA,Real Madrid,Sao Paulo,Sold,6000000,La Liga,13/14
Wallace,Mid-Season,,BRA,Chelsea,Fluminense,Sold,6000000,EPL,Dec-13
Felipe Augusto,Pre-Season,Defender,BRA,Porto,Corinthians,Sold,6200000,ROE,16/17
Nathan,Pre-Season,Midfielder,BRA,Chelsea,Atletico PR,Sold,6200000,EPL,15/16
Alex Telles,Pre-Season,Defender,BRA,Porto,Galatasaray,Sold,6500000,ROE,16/17
Douglas Costa,Mid-Season,Midfielder,BRA,Shakhtar Donetsk,Gremio,Sold,6500000,ROE,09-Oct
